pipeline_id,split,perturbation,perturbation_family,perturbation_level,case_count,auto_pass_rate,mean_monotonic_fraction,mean_violation_count,mean_spearman_rho,mean_expected_span,mean_max_unmasked_delta,mean_mask_area_fraction,s_order,s_qa,e_crit,fragility_balanced,archived_comparator,contact_sheet
P3_sparse2_ridge,test,brightness_up_high,brightness,high,4,1.0,1.0,0.0,0.9999999999999999,5.359371602535248,0.006196201575512168,0.5163443684577942,1.0,1.0,0.0,0.0,,experiments/results/exp09/fragility_aware_evaluation_v1/test_P3_sparse2_ridge_brightness_up_high_contact_sheet.png
P4_sparse4_ridge,test,brightness_up_high,brightness,high,4,1.0,1.0,0.0,0.9999999999999999,5.359238922595978,0.006209815819601425,0.5163443684577942,1.0,1.0,0.0,0.0,,experiments/results/exp09/fragility_aware_evaluation_v1/test_P4_sparse4_ridge_brightness_up_high_contact_sheet.png
P2_diffusion_archived_exp06,test,brightness_up_high,brightness,high,4,0.0,0.5,,0.0,3.554634243249893,0.03180583831778457,,0.5,0.4,1.0,0.64,True,
P1_proxy,test,brightness_down_high,brightness,high,4,0.75,0.9375,0.25,0.9749999999999999,5.380476355552673,0.005502472621571948,0.5163443684577942,0.9525,0.95,0.0,0.039000000000000014,,
P3_sparse2_ridge,test,brightness_down_high,brightness,high,4,0.75,0.9375,0.25,0.9749999999999999,5.370287299156189,0.005590944267358017,0.5163443684577942,0.9525,0.95,0.0,0.039000000000000014,,
P4_sparse4_ridge,test,brightness_down_high,brightness,high,4,0.75,0.9375,0.25,0.9749999999999999,5.370096862316132,0.0055871476452233225,0.5163443684577942,0.9525,0.95,0.0,0.039000000000000014,,
P2_diffusion_archived_exp06,test,brightness_down_high,brightness,high,4,0.0,0.5,,0.0,3.554634243249893,0.03180583831778457,,0.5,0.4,1.0,0.64,True,
P1_proxy,test,contrast_up_high,contrast,high,4,0.75,0.9375,0.25,0.9749999999999999,5.302287429571152,0.006377696481067851,0.5163443684577942,0.9525,0.95,0.0,0.039000000000000014,,
P3_sparse2_ridge,test,contrast_up_high,contrast,high,4,0.75,0.9375,0.25,0.9749999999999999,5.2888994216918945,0.006400214173134437,0.5163443684577942,0.9525,0.95,0.0,0.039000000000000014,,
P4_sparse4_ridge,test,contrast_up_high,contrast,high,4,0.75,0.9375,0.25,0.9749999999999999,5.288333714008331,0.006399920681085225,0.5163443684577942,0.9525,0.95,0.0,0.039000000000000014,,
P2_diffusion_archived_exp06,test,contrast_up_high,contrast,high,4,0.0,0.5,,0.0,3.554634243249893,0.03180583831778457,,0.5,0.4,1.0,0.64,True,
P1_proxy,test,contrast_down_high,contrast,high,4,1.0,1.0,0.0,0.9999999999999999,5.378616154193878,0.0055639216568717596,0.5163443684577942,1.0,1.0,0.0,0.0,,
P3_sparse2_ridge,test,contrast_down_high,contrast,high,4,1.0,1.0,0.0,0.9999999999999999,5.36852753162384,0.0055961103051012295,0.5163443684577942,1.0,1.0,0.0,0.0,,
P4_sparse4_ridge,test,contrast_down_high,contrast,high,4,1.0,1.0,0.0,0.9999999999999999,5.368516683578491,0.005605611087224644,0.5163443684577942,1.0,1.0,0.0,0.0,,
P2_diffusion_archived_exp06,test,contrast_down_high,contrast,high,4,0.0,0.5,,0.0,3.554634243249893,0.03180583831778457,,0.5,0.4,1.0,0.64,True,
P1_proxy,test,image_noise_high,image_noise,high,4,0.75,0.9375,0.25,0.9749999999999999,5.597966969013214,0.006667008555217115,0.5163443684577942,0.9525,0.95,0.0,0.039000000000000014,,
P3_sparse2_ridge,test,image_noise_high,image_noise,high,4,0.75,0.9375,0.25,0.9749999999999999,5.5695561170578,0.006671706193128916,0.5163443684577942,0.9525,0.95,0.0,0.039000000000000014,,
P4_sparse4_ridge,test,image_noise_high,image_noise,high,4,0.75,0.9375,0.25,0.9749999999999999,5.5840103328228,0.006674989484992737,0.5163443684577942,0.9525,0.95,0.0,0.039000000000000014,,
P2_diffusion_archived_exp06,test,image_noise_high,image_noise,high,4,0.0,0.5,,0.0,3.554634243249893,0.03180583831778457,,0.5,0.4,1.0,0.64,True,
